Role,Scenario,Skills
Data Analyst,Tim kamu menerima permintaan dari manajer untuk menganalisis data penjualan yang menurun bulan lalu. Apa langkah pertama yang akan kamu lakukan?,Problem Solving
Data Analyst,"Kamu menemukan adanya anomali dalam data penjualan, tetapi atasanmu ingin laporan segera. Bagaimana kamu akan menjelaskan temuannya?",Communication
Data Analyst,Deadline untuk laporan analitik sangat ketat dan kamu masih memiliki banyak data yang harus dibersihkan. Apa yang akan kamu lakukan?,Time Management
Data Analyst,Rekan kerja kamu menyarankan pendekatan berbeda untuk visualisasi data yang menurutmu kurang akurat. Bagaimana kamu akan menanggapinya?,Teamwork
Data Analyst,Kamu diminta memberikan presentasi hasil analisis kepada tim non-teknis. Bagaimana kamu akan menyusun komunikasinya?,Communication
Product Manager,Klien mengubah spesifikasi produk di tengah proses sprint. Apa yang akan kamu lakukan sebagai PM?,Accountability
Product Manager,Tim mengalami konflik tentang fitur mana yang harus diprioritaskan. Bagaimana kamu menyelesaikannya?,Leadership
Product Manager,Kamu diberi tanggung jawab untuk meluncurkan produk dalam waktu 2 minggu. Bagaimana kamu memastikan semua berjalan lancar?,Time Management
Product Manager,Seorang stakeholder utama tidak puas dengan roadmap produk. Apa pendekatan kamu?,Communication
Product Manager,Terdapat bug kritis sehari sebelum demo ke investor. Apa keputusanmu?,Problem Solving
Digital Marketer,Kampanye iklan yang kamu kelola tidak mencapai target CTR setelah seminggu berjalan. Apa evaluasi yang akan kamu lakukan?,Problem Solving
Digital Marketer,Klien meminta revisi mendadak pada konten kampanye. Bagaimana kamu menanganinya?,Accountability
Digital Marketer,Kamu bertugas mengelola campaign lintas channel dengan waktu terbatas. Bagaimana kamu membaginya?,Time Management
Digital Marketer,Ada perbedaan pandangan antara tim kreatif dan tim analitik. Bagaimana kamu menjaga kolaborasi tetap positif?,Teamwork
Digital Marketer,Brand mengalami krisis reputasi akibat review negatif. Apa strategi komunikasimu?,Communication
Security Administrator,Sistem perusahaan menunjukkan adanya upaya phishing terhadap beberapa karyawan. Apa tindakan pertamamu?,Problem Solving
Security Administrator,Karyawan sering menggunakan password yang lemah meskipun sudah diingatkan. Bagaimana kamu akan mengedukasi mereka?,Communication
Security Administrator,Terdapat permintaan mendesak untuk mengizinkan akses publik ke server internal. Apa keputusanmu?,Accountability
Security Administrator,Kamu harus menyelesaikan audit keamanan minggu ini tapi juga sedang menangani insiden. Apa prioritasmu?,Time Management
Security Administrator,Seorang kolega menyarankan solusi keamanan open-source tanpa dokumentasi jelas. Apa pertimbanganmu?,Problem Solving
Content Creator,Kamu ditugaskan membuat video edukatif dalam 24 jam dengan sumber terbatas. Apa pendekatan kamu?,Creativity
Content Creator,Komentar negatif mulai bermunculan di video viral buatanmu. Bagaimana kamu meresponsnya?,Communication
Content Creator,Kamu diminta membuat konten untuk audiens yang berbeda dari biasanya. Apa yang akan kamu ubah?,Problem Solving
Content Creator,Kamu mengalami creative block menjelang deadline. Bagaimana kamu menghadapinya?,Time Management
Content Creator,Terdapat perbedaan pendapat antara kamu dan editor tentang tone konten. Apa langkah kamu?,Teamwork
